Field,Value
Client,Harborstone Manufacturing
Project,Mechanical Overhaul Review
Project Code,HM-MEC-OVE-REV-2018
Access Request Number,AR-2018-03R
Purchase Order Number,PO-2018-032
Date,2018-03-18
Requested By,Crestline Site Access
Site,Port Melville Works
Workers,"Rebecca Holt, Nathan Wu, Talia Mercer"
Request,"Issue temporary access, plant induction confirmation, and permit office approval for shutdown execution window."
Approval,Approved by Harborstone Manufacturing permit office subject to daily pre-start and escorted entry for LV room isolation checks.
