Field,Value
Client,Harborstone Manufacturing
Project,Piping Integrity Assessment
Project Code,HM-PIP-INT-ASS-2024
Access Request Number,AR-2024-09R
Purchase Order Number,PO-2024-092
Date,2024-09-24
Requested By,Vector Field Services
Site,Port Melville Works
Workers,"Rebecca Holt, Nathan Wu, Talia Mercer"
Request,"Issue temporary access, plant induction confirmation, and permit office approval for shutdown execution window."
Approval,Approved by Harborstone Manufacturing permit office subject to daily pre-start and escorted entry for LV room isolation checks.
